新编号,原标识,来源,里程,记录数,TQI均值,TQI标准差,最佳MAE,改善幅度,类型
199,里程552400,批量样本,552400,254,2.1230708661417323,0.2745244161039077,0.2232732748911245,26.0%,批量样本
200,里程429400,批量样本,429400,251,1.9820717131474104,0.2920049500208059,0.2237461336023948,13.1%,批量样本
201,里程712400,批量样本,712400,508,3.280023622047244,0.3685625355840777,0.2287601591094186,59.0%,批量样本
202,里程667400,批量样本,667400,267,1.8803670411985016,0.3037594519087749,0.2294857447472317,40.8%,批量样本
203,里程1209400,批量样本,1209400,503,2.58434393638171,0.6088090874634671,0.2296442822710273,46.6%,批量样本
204,里程301400,批量样本,301400,252,2.4248412698412696,0.32974270816626,0.2296672321961347,13.1%,批量样本
205,里程565400,批量样本,565400,256,2.285046875,0.2906653856611905,0.2300413130836039,11.7%,批量样本
206,里程527400,批量样本,527400,249,2.0690361445783134,0.2639599850134516,0.2314339217142843,16.0%,批量样本
207,里程914400,批量样本,914400,396,3.0588030303030305,0.2205868963157989,0.2315306586903554,19.7%,批量样本
208,里程288400,批量样本,288400,244,1.878483606557377,0.2194881713061499,0.2318308293617891,20.4%,批量样本
209,里程930400,批量样本,930400,479,2.854482254697286,0.2636378887791484,0.2326734142983831,25.4%,批量样本
210,里程609400,批量样本,609400,251,2.182788844621514,0.3098919024999843,0.2332687745496603,22.4%,批量样本
211,里程658400,批量样本,658400,262,1.9657251908396949,0.2129613514640541,0.2336395207994608,16.1%,批量样本
212,里程685400,批量样本,685400,265,2.417811320754717,0.2797031067071978,0.2349476837151837,35.0%,批量样本
213,里程508400,批量样本,508400,254,2.493700787401575,0.2771104520007739,0.2380091724348444,32.0%,批量样本
214,里程936400,批量样本,936400,480,2.83554375,0.2582913224786022,0.2384888453210873,10.6%,批量样本
215,里程680400,批量样本,680400,265,2.0044528301886797,0.2771687598572814,0.2390423728504978,37.7%,批量样本
216,里程436400,批量样本,436400,249,2.033092369477912,0.285020647777108,0.239360291398896,22.8%,批量样本
217,里程670400,批量样本,670400,263,2.0231178707224333,0.2450412283896651,0.2403478394819068,20.9%,批量样本
218,里程281400,批量样本,281400,247,2.077004048582996,0.2397405694369412,0.2411178852856048,11.9%,批量样本
219,里程224400,批量样本,224400,250,2.04464,0.2805890075620544,0.2419946269208377,30.3%,批量样本
220,里程1010400,批量样本,1010400,509,3.16875442043222,0.699600668298543,0.2431014770923317,78.0%,批量样本
221,里程819400,批量样本,819400,446,3.3580336322869955,0.2860864978631215,0.2448723372050046,19.1%,批量样本
222,里程1023400,批量样本,1023400,472,3.247510593220339,0.2679214240857726,0.2449099656473922,31.0%,批量样本
223,里程487400,批量样本,487400,252,2.38734126984127,0.3057100587861031,0.2457037373762676,10.1%,批量样本
224,里程883400,批量样本,883400,480,3.6275041666666663,0.4987750422586293,0.2474250378532989,35.5%,批量样本
225,里程217400,批量样本,217400,249,2.040200803212852,0.2387305975889113,0.2493695121991673,22.6%,批量样本
226,里程226400,批量样本,226400,251,2.006852589641434,0.3174637840498769,0.2495132437853003,41.0%,批量样本
227,里程631400,批量样本,631400,251,2.0881274900398408,0.2744596139348645,0.2497118048745052,28.0%,批量样本
228,里程406400,批量样本,406400,252,2.3653968253968256,0.3677283572028094,0.2497126109026669,51.0%,批量样本
229,里程881400,批量样本,881400,457,3.017371991247265,0.3519075485444455,0.2507846164700402,40.8%,批量样本
230,里程892400,批量样本,892400,497,3.1309154929577465,0.3719178619937044,0.2515264108163614,28.1%,批量样本
231,里程554400,批量样本,554400,253,2.178861660079052,0.3099604183518473,0.2533252514507393,31.6%,批量样本
232,里程925400,批量样本,925400,427,3.374185011709602,0.2518502441978632,0.2559528454753816,12.8%,批量样本
233,里程320400,批量样本,320400,239,3.549037656903766,0.2769816201550755,0.2562903695198519,30.0%,批量样本
234,里程459400,批量样本,459400,232,3.4078060344827588,0.4392807199947414,0.2567594505869213,18.6%,批量样本
235,里程895400,批量样本,895400,511,2.627078277886497,0.4874662962082499,0.2577409727863182,39.7%,批量样本
236,里程1026400,批量样本,1026400,509,2.941001964636542,0.7616514938130357,0.2597603096367398,80.1%,批量样本
237,里程234400,批量样本,234400,250,1.90212,0.2388491180741919,0.2608931723863893,24.1%,批量样本
238,里程723400,批量样本,723400,414,3.0530241545893726,0.2683472406153894,0.2609288287104895,24.8%,批量样本
239,里程1033400,批量样本,1033400,510,2.947072549019608,0.7441213147545737,0.2657215787975458,73.6%,批量样本
240,里程553400,批量样本,553400,252,2.0855992063492064,0.2975927356875987,0.2666447979363288,15.4%,批量样本
241,里程686400,批量样本,686400,264,2.8745454545454545,0.332578047414206,0.2670609269965032,43.2%,批量样本
242,里程1243400,批量样本,1243400,256,4.217265625,0.6472011716751191,0.2679408229897377,43.5%,批量样本
243,里程214400,批量样本,214400,250,2.2994,0.3605395889229404,0.2727837370105105,46.8%,批量样本
244,里程25400,批量样本,25400,177,3.892542372881356,0.413056483674692,0.2737289153183461,42.3%,批量样本
245,里程913400,批量样本,913400,477,2.526649895178197,0.2719578197819198,0.2747372024022591,10.5%,批量样本
246,里程893400,批量样本,893400,507,2.9199881656804734,0.5271635411038573,0.2769657271452182,46.1%,批量样本
247,里程632400,批量样本,632400,253,2.0800790513833998,0.2975855113798781,0.2788392004343163,32.1%,批量样本
248,里程861400,批量样本,861400,467,3.1411905781584584,0.3572423289978059,0.2796141819336447,11.1%,批量样本
249,里程590400,批量样本,590400,253,2.0204743083003955,0.2525217504619451,0.2811059427554544,11.1%,批量样本
250,里程724400,批量样本,724400,421,2.883503562945368,0.2969108381662894,0.2811241282441141,21.4%,批量样本
251,里程262400,批量样本,262400,244,2.015819672131148,0.2754998156405899,0.2840372099915443,10.6%,批量样本
252,里程928400,批量样本,928400,449,3.251325167037862,0.4393120751669909,0.2852810084246233,37.1%,批量样本
253,里程1212400,批量样本,1212400,504,2.975916666666667,0.5440913714415412,0.286032013325393,45.1%,批量样本
254,里程392400,批量样本,392400,253,2.142806324110672,0.3204987897723815,0.2869710998194308,22.2%,批量样本
255,里程79400,批量样本,79400,182,1.8902197802197804,0.2966385453172046,0.2883465194910077,16.4%,批量样本
256,里程820400,批量样本,820400,459,3.0420588235294117,0.3538948645217353,0.2883679993502711,36.4%,批量样本
