tqi_mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,time_span_days
777400,491,3.2761507128309577,0.7698218278452761,1.43,6.09,2012-12-12,2026-03-19,4845
778400,491,2.819356415478615,0.46670578204525376,1.1,4.173,2012-12-12,2026-03-19,4845
779400,491,2.836580448065173,0.5889702905994312,1.0,4.23,2012-12-12,2026-03-19,4845
780400,490,2.650079591836735,0.4220518045910055,1.0,3.94,2012-12-12,2026-03-19,4845
781400,491,2.975,0.586946675601796,1.02,4.4,2012-12-12,2026-03-19,4845
782400,490,2.933885714285714,0.5884244353826744,1.1,4.52,2012-12-12,2026-03-19,4845
783400,491,2.8580366598778,0.5938176167129237,1.0,4.26,2012-12-12,2026-03-19,4845
784400,487,3.6208418891170435,1.5436384833018968,1.8,35.1,2012-12-12,2026-03-19,4845
785400,477,3.843612159329141,2.017790762554056,2.08,44.1,2012-12-12,2026-03-19,4845
786400,491,3.2659103869653765,0.6398895536986887,1.8,6.1,2012-12-12,2026-03-19,4845
787400,491,3.0604154786150715,0.5722747079077879,1.56,4.7,2012-12-12,2026-03-19,4845
788400,491,3.1384195519348266,0.6097995749228802,1.22,6.452,2012-12-12,2026-03-19,4845
789400,491,2.982765784114053,0.7225845308437201,1.1,5.38,2012-12-12,2026-03-19,4845
790400,491,2.9319959266802447,0.6375976435695281,1.1,6.05,2012-12-12,2026-03-19,4845
791400,490,3.1033551020408163,0.5906179464901548,1.4,5.914,2012-12-12,2026-03-19,4845
792400,491,3.4051242362525462,0.9505910979776019,1.1,12.35,2012-12-12,2026-03-19,4845
793400,491,3.14085132382892,0.7890605834667557,1.0,7.079,2012-12-12,2026-03-19,4845
794400,491,3.047219959266802,0.6894211832005981,1.0,4.73,2012-12-12,2026-03-19,4845
795400,491,3.1368105906313644,0.5642892393830738,1.13,7.413,2012-12-12,2026-03-19,4845
796400,490,2.9878714285714287,0.5811967782877194,1.01,7.352,2012-12-12,2026-03-19,4845
804400,437,4.106617848970252,1.9394257846764438,1.64,17.1,2012-12-12,2026-03-19,4845
805400,485,3.7540762886597934,0.7084415006692473,1.78,12.358,2012-12-12,2026-03-19,4845
806400,489,3.117124744376278,0.7736271068095788,1.1,14.032,2012-12-12,2026-03-19,4845
807400,489,3.0555153374233126,0.6791572980705413,1.3,7.962,2012-12-12,2026-03-19,4845
808400,488,2.823254098360656,0.5070700644794338,1.3,5.7,2012-12-12,2026-03-19,4845
809400,490,3.1507122448979596,1.0490080429066713,1.29,21.0,2012-12-12,2026-03-19,4845
810400,490,2.6183734693877554,0.45223276725299866,1.0,6.22,2012-12-12,2026-03-19,4845
811400,490,3.155585714285714,0.5125411388546337,1.63,8.5,2012-12-12,2026-03-19,4845
812400,490,3.011081632653062,0.5307388505412164,1.39,9.4,2012-12-12,2026-03-19,4845
813400,490,3.493212244897959,0.7726443319234516,1.36,10.432,2012-12-12,2026-03-19,4845
814400,488,3.3499446721311474,0.5278628047795255,1.68,8.1,2012-12-12,2026-03-19,4845
815400,488,3.0601229508196726,0.6304840072632163,1.28,8.772,2012-12-12,2026-03-19,4845
816400,489,3.2843987730061355,1.2301927438274478,1.3,19.8,2012-12-12,2026-03-19,4845
817400,489,2.887218813905931,0.7305572844581182,1.2,10.163,2012-12-12,2026-03-19,4845
818400,488,3.4587233606557377,0.6609704017418833,1.2,9.04,2012-12-12,2026-03-19,4845
819400,488,3.2100881147540985,0.7147227650100025,1.2,11.909,2012-12-12,2026-03-19,4845
820400,488,2.9719016393442623,0.6671984568775096,1.3,10.633,2012-12-12,2026-03-19,4845
821400,489,3.1786973415132924,0.6189256013556151,1.2,7.391,2012-12-12,2026-03-19,4845
822400,488,2.7676413934426227,0.5333526408625886,1.1,6.2,2012-12-12,2026-03-19,4845
823400,487,3.131950718685831,0.7397810387004222,1.17,7.0,2012-12-12,2026-03-19,4845
824400,488,3.0421823770491803,0.7650433075050055,0.88,12.6,2012-12-12,2026-03-19,4845
825400,489,2.8660756646216767,0.7853894776212723,1.04,11.4,2012-12-12,2026-03-19,4845
826400,489,2.9345480572597133,0.8182293797402984,0.88,7.7,2012-12-12,2026-03-19,4845
