mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
974400.0,444,2.5075675675675675,0.39854947202896474,1.29,3.76,2012-12-12,2026-03-19,155,4845,162,0.9567901234567902
975400.0,446,2.5992443946188337,0.5733125711006105,1.07,4.441,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
976400.0,446,2.420282511210762,0.39188490744377846,1.1,3.971,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
977400.0,446,3.234883408071749,0.6151761416473974,1.1,4.75,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
985400.0,425,3.279138823529412,0.6727147493436293,1.3,4.89,2012-12-12,2026-03-19,154,4845,162,0.9506172839506173
986400.0,426,3.325652582159625,0.7106454375005685,1.3,5.62,2012-12-12,2026-03-19,154,4845,162,0.9506172839506173
987400.0,441,2.903360544217687,0.4451288467028125,1.2,4.54,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
988400.0,439,2.61348291571754,0.3485391942277663,1.3,3.64,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
989400.0,437,2.9425080091533182,0.48087686826848547,1.57,4.36,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
990400.0,440,3.251804545454546,0.6216098784459345,1.2,4.97,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
991400.0,442,2.827957013574661,0.552251204349796,1.0,4.44,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
992400.0,446,3.012627802690583,0.7315788869967687,0.9,5.019,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
993400.0,442,2.93941628959276,0.6665308014662251,0.8,5.04,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
994400.0,441,2.892342403628118,0.6629962588970483,0.8,4.5,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
995400.0,440,2.7428045454545456,0.554882550709425,1.2,4.7,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
996400.0,440,2.950684090909091,0.6529954652604043,1.2,4.9,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
